,text,text_final
31,@105844 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,105844 wed happy send start
32,You’ve paralysed my phone with your update @76099 grrrrrrrrrr,you’ve paralyse update 76099 grrrrrrrrrr
33,"@82476 🤔 We'd like to help Sam, which number is calling you? Please DM us more info so we can advise further. https://t.co/5pyLDJBC6r",82476 thinking_face wed like sam number call info advise httpstco5pyldjbc6r
34,"@O2 I received this a few weeks ago, since then I've been getting 2/3 calls a day from a telemarketer. Is someone using your name? https://t.co/GLtz4XHcex",o2 receive week ago since get 23 call day telemarketer someone use name httpstcogltz4xhcex
35,"@105845 I understand this is a frustrating experience, please send a DM with your account information so I can look into this matter for you. -AD",105845 understand frustrate experience send account information look matter ad
36,"My internet is down and xfinity talkin about 24-72 hours... y’all have the game messed up. 

@77245",internet xfinity talkin 2472 hour y’all game mess 77245
37,@105676 I understand how you frustrated this situation can be. Please follow us by sending a DM for further assistance. Sprint Cares. -AC,105676 understand frustrate situation follow send assistance sprint care ac
38,@76803  I service last 40 min sprint can I get a refund https://t.co/wYPw9hP6wt,76803 service last 40 min sprint get refund httpstcowypw9hp6wt
39,@105846 We'd like to help. What happens when you try to listen to Apple Music &amp; use WhatsApp? Does the music pause? Let us know in DM. https://t.co/GDrqU22YpT,105846 wed like happen try listen apple music amp use whatsapp music pause let know
40,So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,new 76099 update let listen music go whatsapp time
41,@105847 Hi Harry! Help's here. Can you check if logging out &gt; restarting your device &gt; logging back in makes a difference? Keep us posted /MU,105847 harry help check log gt restart device gt log back make difference keep post mu
42,@SpotifyCares seems to be working at this stage. Will let you know if it happens again. Cheers,spotifycares seem work stage let know happen cheer
43,@105847 Sure thing. We'll keep an eye out for your update /MU,105847 sure thing well keep eye update mu
44,@SpotifyCares problem has come back again today. is there some kind of bug?,spotifycares problem come back today kind bug
45,"@105847 Thanks for giving us a nudge about this. What device, operating system, and Spotify version is this happening on? /AY",105847 give nudge device operate system spotify version happen ay
46,"@SpotifyCares It's on a Macbook Air (early 2014), running High Sierra, spotify version 1.0.65.320.gac7a8e02",spotifycares macbook air early 2014 run high sierra spotify version 1065320gac7a8e02
47,@105847 Got it. Can you try the steps here for us: https://t.co/EqisDMwZAT? They should help with this. Let us know how it plays out /AY,105847 get try step httpstcoeqisdmwzat let know play ay
48,@SpotifyCares i've been having issues with playback. songs have been stopping midway through and won't restart unless i close and reopen app,spotifycares issue playback song stop midway wont restart unless close reopen app
49,@105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply. https://t.co/GDrqU22YpT,105848 let take look exact io youre use use specific apps notice reply
50,@AppleSupport Latest version 😡😡 I have read the help page turned off virtually all apps and location svs too - but in typing this I dropped 3% life,late version pouting_facepouting_face read page turn virtually apps location svs type drop 3 life
51,@AppleSupport Super help - problem solved 😀 once again in love with Apple,super problem solve grinning_face love apple
52,@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,ios11update still kill battery within 12 hour 10 month old it’s disgrace use get 2 day
53,@105849 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,105849 reach always happy send look together
54,"Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life out😩",take charge 720am 803am 60 battery remain 76099 plz beg sort battery life outweary_face
55,"@105850 Once the points load and you hit the number, you get it immediately! You'll even receive a congrats email. Are you almost there? ^AC",105850 point load hit number get immediately youll even receive congrats email almost ac
56,@SouthwestAir I am! Thank you for the answer!!,southwestair thank answer
57,@southwestair Just curious....will I get the companion pass the exact moment I get enough points? It will I have to wait? Thanks!,southwestair curiouswill get companion pass exact moment get enough point wait
58,@105851 We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there. https://t.co/GDrqU22YpT,105851 wed like provide assistance tell issue youre experience well go
59,@AppleSupport I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!,need new code istore haven’t recd msg many send
60,"@105852 Are you experiencing an issue with your device? If so, DM us with what's going on. We'll see how we can help from there. https://t.co/GDrqU22YpT",105852 experience issue device whats go well see
61,@76099 @AppleSupport fix this update. It’s horrible,76099 fix update it’s horrible
62,"@105842 I appreciate it's after 15:30 now, so hopefully you will depart very soon. We're sorry for any inconvenience the delay has caused. 2/2 ^JR",105842 appreciate 1530 hopefully depart soon sorry inconvenience delay cause 22 jr
63,"@British_Airways Thanks for your answer. Response onsite was that Aircraft will not depart today, so rebooking to @105853 with now 4h delay...",britishairways answer response onsite aircraft depart today rebooking 105853 4h delay
64,@105842 Very sorry to hear this.  We hope you get everything sorted.   Kind Regards ^Jools,105842 sorry hear hope get everything sort kind regard jools
65,"@105854 I am sorry for the poor experience. Can you please DM the full service address and name on the account, as we ass... https://t.co/JEZhqGdBMd",105854 sorry poor experience full service address name account as httpstcojezhqgdbmd
66,@Ask_Spectrum It's just in my yard. I've called 4-5 times in 6 weeks. I'm not a customer but it's pretty tempting. I do have some coaxial,askspectrum yard call 45 time 6 week im customer pretty tempt coaxial
67,@76501 I guess this means free cable for the neighborhood. https://t.co/FBgEE9YXPm,76501 guess mean free cable neighborhood httpstcofbgee9yxpm
68,"@105855 Hi Thomas, if a colleague believes the person buying alcohol looks under 25, they will be challenged for ID to prove they're of age. - Paige",105855 thomas colleague believe person buy alcohol look 25 challenge id prove theyre age paige
69,@Tesco Maybe hire colleagues who can see?,tesco maybe hire colleague see
70,@Tesco The point is if it's enforced they do it properly or they don't. Plus take some common-sense and think does that person look over 18?,tesco point enforce properly dont plus take commonsense think person look 18
71,"@105855 Hi Thomas, this is correct but this helps our store colleagues judge age and protect them from making underage sales. Amanda",105855 thomas correct help store colleague judge age protect make underage sale amanda
72,@Tesco Uk offlicense law is 18. Not 25,tesco uk offlicense law 18 25
73,"@105855 Hi Thomas, we operate a Think 25 policy at our stores. I'd be flattered to be ID'd. :-) - Helena",105855 thomas operate think 25 policy store id flatter idd helena
74,Got id's @Tesco for buying one Adnams Broadside. Is being blind part of the job-spec? I am 35 and 99 kilos.,get id tesco buy one adnams broadside blind part jobspec 35 99 kilo
75,"@105856 Hi there, could you try deleting your cache and cookies and reinstalling the app if using it? This should fix the issue :) - Dani",105856 could try delete cache cooky reinstall app use fix issue dani
76,@Tesco Will I lose all the shopping I've done if I delete the cache/cookies (not using app)?,tesco lose shop do delete cachecookies use app
77,"@105856 Hi there, as long as you sign out of your account prior to deleting your cache &amp; cookies, you'll still have a full basket :) Thanks - Mike",105856 long sign account prior delete cache amp cooky youll still full basket mike
78,@Tesco Done all that. Still telling me there are no delivery slots whatsoever.,tesco do still tell delivery slot whatsoever
79,"@105856 Can you DM me your full name, address and email? I'd be happy to look into this further for you :) Thanks - Mike",105856 full name address email id happy look mike
80,"Hey @Tesco, your website's broken. It's telling me there are no delivery slots for the next 3 weeks, which I find slightly unlikely.",hey tesco website break tell delivery slot next 3 week find slightly unlikely
81,@105857 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM. https://t.co/GDrqU22YpT,105857 particular app seem cause issue others model iphone use join
82,@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,late version io start immediately update
83,@105857 We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?,105857 wed like start happen version io run currently
84,My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,apps stop work without warn freeze every five minute love new update 76099
85,"@105858 Hi Agoura, thanks for tweeting. Please refer to this article: https://t.co/BSsgjZARTc &amp; click the link to reply back. ^Rashmi https://t.co/a2xkfCrUG1",105858 agoura tweet refer article httpstcobssgjzartc amp click link reply back rashmi httpstcoa2xkfcrug1
86,@HPSupport Problem with printhead  Serial# TH536D1HN #hpcswus #hpprnt,hpsupport problem printhead serial th536d1hn hpcswus hpprnt
87,@105859 UPS has a service called My Choice that will allow your packages to be delivered to UPS Store. ^ML  https://t.co/BPZKndqww1 https://t.co/wKJHDXWGRQ,105859 up service call choice allow package deliver up store ml httpstcobpzkndqww1 httpstcowkjhdxwgrq
88,@105860 I wish Amazon had an option of where I can just get it shipped to the ups store so I can avoid a lot of the struggle,105860 wish amazon option get ship up store avoid lot struggle
89,They reschedule my shit for tomorrow https://t.co/RsvZcT982t,reschedule shit tomorrow httpstcorsvzct982t
90,"@105861 Hey Sara, sorry to hear of the issues you are having, can I ask if it's the lay out or just the speed of the website responding? TY - Chris",105861 hey sara sorry hear issue ask lay speed website respond ty chris
91,@Tesco bit of both - finding the layout cumbersome and when removing an item from faves - getting a huge slowdown. Not keen on the thin green line https://t.co/9281OKEebk,tesco bit find layout cumbersome remove item faves get huge
92,"@105861 If that doesn't help please DM your full name, address and email including the browser and device so we can log this. Thanks - Lee 2/2",105861 doesnt full name address email device 22
